Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Ogihara, Mari H; Kobayashi, Eiji; Morimoto, Nobuo; Yoshiyama, Mikio; Kimura, Kiyoshi; ",Molecular analysis of voltage-gated sodium channels to assess τ-fluvalinate resistance in Japanese populations of Varroa destructor (Acari: Varroidae),Applied entomology and zoology,56,,277-284,2021,Springer Japan
"Rasool, Kawsar; Ahad, Ishtiyaq; Rasool, Rozy; ","Efficacy of various botanicals and chemicals on ectoparasitic mite, Varroa destructor feeding on European honey bee, Apis mellifera",Journal of Entomology and Zoology Studies,5,5,589-595,2017,
"Coffey, Mary Frances; ","Biotechnical methods in colony management, and the use of Apiguard® and Exomite™ Apis for the control of the varroa mite (Varroa destructor) in Irish honey bee (Apis mellifera) colonies",Journal of apicultural research,46,4,213-219,2007,Taylor & Francis
"Hernandez, Julie; Hattendorf, Jan; Aebi, Alexandre; Dietemann, Vincent; ",Compliance with recommended Varroa destructor treatment regimens improves the survival of honey bee colonies over winter,Research in veterinary science,144,,01-Oct,2022,WB Saunders
"Moškrič, Ajda; Bubnič, Jernej; Škerl, Maja Ivana Smodiš; Prešern, Janez; ",Potential positive effects of hop beta acids on parasitic mite Varroa destructor control in honey bee colonies,Journal of Hygienic Engineering and Design,24,,21-28,2018,"Consulting and Training Centre, KEY"
"M Khodairy, Mohamed; ",EFFICACY OF REPEATED TREATMENTS USING OXALIC ACID WITH TRICKLING AND SPRAYING METHODS TO CONTROL VARROA MITES UNDER BROODRIGHT CONDITION OF HONEY BEE COLONIES,Assiut Journal of Agricultural Sciences,39,3,159-174,2008,"Assiut University, Faculty of Agriculture"
"Kruitwagen, Astrid; van Langevelde, Frank; van Dooremalen, Coby; Blacquière, Tjeerd; ",Naturally selected honey bee (Apis mellifera) colonies resistant to Varroa destructor do not groom more intensively,Journal of Apicultural Research,56,4,354-365,2017,Taylor & Francis
"Locke, Barbara; ","Host-parasite adaptations and interactions between honey bees, varroa mites and viruses",,,,,2012,"Department of Ecology, Swedish University of Agricultural Sciences"
"Gregorc, Aleš; Planinc, Ivo; ",Using oxalic acid for Varroa mite control in honeybee colonies during the beekeeping season,Slov Vet Res,41,,35-39,2004,
"Lodesani, Marco; Costa, Cecilia; Besana, Andrea; Dall'Olio, Raffaele; Franceschetti, Simone; Tesoriero, Donato; Giacomo, Donato; ",Impact of control strategies for Varroa destructor on colony survival and health in northern and central regions of Italy,Journal of Apicultural Research,53,1,155-164,2014,Taylor & Francis
"Gregorc, Aleš; Adamczyk, John; Kapun, Stanislav; Planinc, Ivo; ",Integrated varroa control in honey bee (Apis mellifera carnica) colonies with or without brood,Journal of Apicultural Research,55,3,253-258,2016,Taylor & Francis
"van Toor, Ron F; Thompson, Shirley E; Gibson, Donna M; Smith, Grant R; ",Ingestion of Varroa destructor by pseudoscorpions in honey bee hives confirmed by PCR analysis,Journal of Apicultural Research,54,5,555-562,2015,Taylor & Francis
"Rinderer, Thomas E; De Guzman, Lilia I; Frake, Amanda M; Tarver, Matthew R; Khongphinitbunjong, Kitiphong; ",An evaluation of the associations of parameters related to the fall of Varroa destructor (Acari: Varroidae) from commercial honey bee (Hymenoptera: Apidae) colonies as tools for selective breeding for mite resistance,Journal of economic entomology,107,2,516-522,2014,"Oxford University Press Oxford, UK"
"Boecking, Otto; Spivak, Marla; ",Behavioral defenses of honey bees against Varroa jacobsoni Oud.,Apidologie,30,02-Mar,141-158,1999,EDP Sciences
"Bogdanov, Stefan; ",Contaminants of bee products,Apidologie,37,1,Jan-18,2006,EDP Sciences
"Millán‐Leiva, Anabel; Marín, Óscar; Christmon, Krisztina; vanEngelsdorp, Dennis; González‐Cabrera, Joel; ","Mutations associated with pyrethroid resistance in Varroa mite, a parasite of honey bees, are widespread across the United States",Pest Management Science,77,7,3241-3249,2021,Wiley Online Library
"Elbassiouny, AM; Abdel-Megeed, MI; El-Shaarawi, MO; Mohammed, GM; ",Effect of colony management and plant extracts on varroa mites attacking honey bee colonies.,Annals of Agricultural Science (Cairo),51,2,559-572,2006,"Faculty of Agriculture, Ain Shams University"
"Brasesco, Constanza; Gende, Liesel; Negri, Pedro; Szawarski, Nicolás; Iglesias, Azucena; Eguaras, Martín; Ruffinengo, Sergio; Maggi, Matías; ","Assessing in vitro acaricidal effect and joint action of a binary mixture between essential oil compounds (thymol, phellandrene, eucalyptol, cinnamaldehyde, myrcene, carvacrol) over ectoparasitic mite Varroa destructor (Acari: Varroidae)",Journal of Apicultural Science,61,2,203-215,2017,
"Ghasemi, Vahid; Moharramipour, Saeid; Tahmasbi, Gholam Hossein; ",Laboratory cage studies on the efficacy of some medicinal plant essential oils for controlling varroosis in Apis mellifera (Hym.: Apidae),Systematic and Applied Acarology,21,12,1681-1692,2016,BioOne
"Stanimirović, Zoran; Aleksić, Nevenka; Stevanović, Jevrosima; Ćirković, Dragan; Mirilović, Milorad; Đelić, Ninoslav; Stojić, Velibor; ",The influence of pulverised sugar dusting on the degree of infestation of honey bee colonies with Varroa destructor,Acta Veterinaria-Beograd,61,02-Mar,309-325,2011,"Univerzitet u Beogradu-Fakultet veterinarske medicine, Beograd"
"Reeves, Alison M; O’Neal, Scott T; Fell, Richard D; Brewster, Carlyle C; Anderson, Troy D; ","In-hive acaricides alter biochemical and morphological indicators of honey bee nutrition, immunity, and development",Journal of Insect Science,18,5,8,2018,Oxford University Press US
"Mahmood, Rashid; Wagchoure, Elizabeth Stephen; Raja, Shazia; Sarwar, Ghulam; ","Control of Varroa destructor using oxalic acid, formic acid and bayvarol strip in Apis mellifera (Hymenoptera: Apidae) colonies",Pakistan Journal of Zoology,44,6,,2012,AsiaNet Pakistan (Pvt) Ltd.
"Calderone, NW; ",Evaluation of drone brood removal for management of Varroa destructor (Acari: Varroidae) in colonies of Apis mellifera (Hymenoptera: Apidae) in the northeastern United States,Journal of Economic Entomology,98,3,645-650,2005,"Oxford University Press Oxford, UK"
"Mahmood, Rashid; Asad, Saima; Raja, Shazia; ul Moshin, Atta; Wagchoure, Elizabeth Stephen; Sarwar, Ghulam; Islam, Noor; Ahmad, Waqar; ",Control of Varroa destructor (Acari: Varroidae) in Apis mellifera (Hymenoptera: Apidae) by using plant oils and extract,Pakistan Journal of Zoology,46,3,,2014,AsiaNet Pakistan (Pvt) Ltd.
"Marangi, M; Giangaspero, A; Roy, L; ",TOWARDS THE MOLECULAR CHARACTERIZATION OF THE CHANNEL SODIUM GENE IN DERMANYSSUS GALLINAE ACARICIDE RESISTANT ISOLATES FROM ITALY,"3rd COST COREMI Conference, and Management Committee (MC) Meeting",,,,2017,
"Bahreini, Rassol; Nasr, Medhat; Docherty, Cassandra; de Herdt, Olivia; Muirhead, Samantha; Feindel, David; ","Evaluation of potential miticide toxicity to Varroa destructor and honey bees, Apis mellifera, under laboratory conditions",Scientific reports,10,1,21529,2020,Nature Publishing Group UK London
"Vandervalk, Lynae Patricia; ",New options for integrated pest management of Varroa destructor (Acari: Varroidae) in colonies of Apis mellifera (Hymenoptera: Apidae) under Canadian prairie conditions,,,,,2013,University of Alberta (Canada)
"Conlon, Benjamin H; Aurori, Adriana; Giurgiu, Alexandru‐Ioan; Kefuss, John; Dezmirean, Daniel S; Moritz, Robin FA; Routtu, Jarkko; ",A gene for resistance to the Varroa mite (Acari) in honey bee (Apis mellifera) pupae,Molecular ecology,28,12,2958-2966,2019,Wiley Online Library
"Rodríguez, Marta; Gerding, Marcos; France, Andrés; ",Selección de Hongos Entomopatógenos para el Control de Varroa destructor (Acari: Varroidae),Chilean journal of agricultural research,69,4,534-540,2009,SciELO Chile
"González-Gómez, Rebeca; Otero-Colina, Gabriel; Villanueva-Jiménez, Juan A; Santillán-Galicia, Ma Teresa; Peña-Valdivia, Cecilia Beatriz; Santizo-Rincón, José Antonio; ","Effects of neem (Azadirachta indica) on honey bee workers and queens, while applied to control Varroa destructor",Journal of Apicultural Research,55,5,413-421,2016,Taylor & Francis
"Rademacher, Eva; Harz, Marika; Schneider, Saskia; ",The development of HopGuard® as a winter treatment against Varroa destructor in colonies of Apis mellifera,Apidologie,46,,748-759,2015,Springer Paris
"Seeley, Thomas D; ",Honey bees of the Arnot Forest: a population of feral colonies persisting with Varroa destructor in the northeastern United States,Apidologie,38,1,19-29,2007,EDP Sciences
"Adamczyk, Sabine; Lázaro, Regina; Pérez-Arquillué, Consuelo; Bayarri, Susana; Herrera, Antonio; ",Impact of the use of fluvalinate on different types of beeswax from Spanish hives,Archives of environmental contamination and toxicology,58,,733-739,2010,Springer-Verlag
"Kolics, Éva; Specziár, András; Taller, János; Mátyás, Kinga Klára; Kolics, Balázs; ",Lithium chloride outperformed oxalic acid sublimation in a preliminary experiment for Varroa mite control in pre-wintering honey bee colonies,Acta Veterinaria Hungarica,68,4,370-373,2021,Akadémiai Kiadó
"Knowles, Charles O; ",Mechanisms of resistance to acaricides,Molecular mechanisms of resistance to agrochemicals,,,57-77,1997,"Springer Berlin Heidelberg Berlin, Heidelberg"
"Sinia, Alice; ","Evaluation of the fungi Beauveria bassiana, Metarhizium anisopliae, and Clonostachys rosea as bio-control agents against the honey bee parasitic mite, Varroa destructor",,,,,2013,University of Guelph
"Johnson, Reed M; Pollock, Henry S; Berenbaum, May R; ",Synergistic interactions between in-hive miticides in Apis mellifera,Journal of economic entomology,102,2,474-479,2009,"Oxford University Press Oxford, UK"
"Panziera, Delphine; van Langevelde, Frank; Blacquière, Tjeerd; ",Varroa sensitive hygiene contributes to naturally selected varroa resistance in honey bees,Journal of Apicultural Research,56,5,635-642,2017,Taylor & Francis
"Underwood, Robyn M; Currie, Robert W; ","The effects of temperature and dose of formic acid on treatment efficacy against Varroa destructor (Acari: Varroidae), a parasite of Apis mellifera (Hymenoptera: Apidae)",Experimental & applied acarology,29,,303-313,2003,Kluwer Academic Publishers
"Prešern, Janez; Kur, Uroš; Bubnič, Jernej; Šala, Martin; ",Lithium contamination of honeybee products and its accumulation in brood as a consequence of anti-varroa treatment,Food chemistry,330,,127334,2020,Elsevier
"De Guzman, LI; Rinderer, TE; Delatte, GT; Macchiavelli, RE; ",Varroa jacobsoni Oudemans tolerance in selected stocks of Apis mellifera L,Apidologie,27,4,193-210,1996,EDP Sciences
"Nazer, IK; Al-Abbadi, A; ",Control of varroa mite (Varroa destructor) on honeybees by aromatic oils and plant materials,Journal of Agricultural and Marine Sciences [JAMS],8,1,15-20,2003,
"Anderson, DL; Trueman, JWH; ",Varroa jacobsoni (Acari: Varroidae) is more than one species,Experimental & applied acarology,24,,165-189,2000,Kluwer Academic Publishers
"Delaplane, Keith S; Ellis, James D; Hood, W Michael; ",A test for interactions between Varroa destructor (Acari: Varroidae) and Aethina tumida (Coleoptera: Nitidulidae) in colonies of honey bees (Hymenoptera: Apidae),Annals of the Entomological Society of America,103,5,711-715,2010,Oxford University Press
"Balayannis, Panos G; ",Gas chromatographic determination of coumaphos and tau-fluvalinate residues in royal jelly produced under commercial conditions,Journal of Apicultural Research,40,2,71-78,2001,Taylor & Francis
"Bogdanov, Stefan; Imdorf, Anton; Charriere, J; Fluri, P; Kilchenmann, V; ",The contaminants of the bee colony,"Swiss Bee Research Centre. Bern, Switzerland",12,,,2003,
"Sabate, Daniela Constanza; Cruz, MS; Benítez-Ahrendts, MR; Audisio, Marcela Carina; ","Beneficial effects of Bacillus subtilis subsp. subtilis Mori2, a honey-associated strain, on honeybee colony performance",Probiotics and antimicrobial proteins,4,,39-46,2012,Springer-Verlag
"Ravoet, Jorgen; Reybroeck, Wim; de Graaf, Dirk C; ",Pesticides for apicultural and/or agricultural application found in Belgian honey bee wax combs,Bulletin of environmental contamination and toxicology,94,,543-548,2015,Springer US
"Adjlane, Noureddine; Tarek, El-Ounass; Haddad, Nizar; ",Evaluation of oxalic acid treatments against the mite Varroa destructor and secondary effects on honey bees Apis mellifera,Journal of Arthropod-Borne Diseases,10,4,501,2016,Tehran University of Medical Sciences
"Ziegelmann, Bettina; Abele, Elisabeth; Hannus, Stefan; Beitzinger, Michaela; Berg, Stefan; Rosenkranz, Peter; ",Lithium chloride effectively kills the honey bee parasite Varroa destructor by a systemic mode of action,Scientific reports,8,1,683,2018,Nature Publishing Group UK London
"Kulinčević, JM; Rinderer, TE; Mladjan, VJ; Buco, SM; ",Five years of bi-directional genetic selection for honey bees resistant and susceptible to Varroa jacobsoni,Apidologie,23,5,443-452,1992,EDP Sciences
"Kasiotis, Konstantinos M; Zafeiraki, Effrosyni; Kapaxidi, Eleftheria; Manea-Karga, Elektra; Antonatos, Spyridon; Anastasiadou, Pelagia; Milonas, Panagiotis; Machera, Kyriaki; ",Pesticides residues and metabolites in honeybees: A Greek overview exploring Varroa and Nosema potential synergies,Science of The Total Environment,769,,145213,2021,Elsevier
"Düttmann, Christiane; Flores, Byron; Sheleby-Elías, Jessica; Castillo, Gladys; Osejo, Henry; Bermudez, Sergio; Demedio, Jorge; ","Morphotype and haplotype identification of Varroa destructor (Acari: Varroidae), and its importance for apiculture in Nicaragua",Experimental and Applied Acarology,83,,527-544,2021,Springer International Publishing
"Gregorc, Ales; Alburaki, Mohamed; Rinderer, Nicholas; Sampson, Blair; Knight, Patricia R; Karim, Shahid; Adamczyk, John; ",Effects of coumaphos and imidacloprid on honey bee (Hymenoptera: Apidae) lifespan and antioxidant gene regulations in laboratory experiments,Scientific reports,8,1,15003,2018,Nature Publishing Group UK London
"Rahimi, Ataollah; Del, Yaser Khoram; Moradpour, Farzad; ","The effect of thyme (Thymus caucasicus) ethanol extract on Varroa mite (Varroa destructor), an ectoparasite mite of Apis mellifera meda (Hym: Apidae)",Biologija,63,2,,2017,
"Pohorecka, Krystyna; Kiljanek, Tomasz; Antczak, Maja; Skubida, Piotr; Semkiw, Piotr; Posyniak, Andrzej; ",Amitraz marker residues in honey from honeybee colonies treated with Apiwarol,Journal of veterinary research,62,3,297,2018,De Gruyter
"Gurgulova, Kalinka; Zhelyazkova, Ivanka; Popova, Vera; ",VARROA CONTROL IN THE REPUBLIC OF BULGARIA,ADVANCES,,,84,2005,
"Giménez-Martínez, Pablo; Ramirez, Cristina; Mitton, Giulia; Arcerito, Facundo Meroi; Ramos, Facundo; Cooley, Hazel; Fuselli, Sandra; Maggi, Matias; ",Lethal concentrations of Cymbopogon nardus essential oils and their main component citronellal on Varroa destructor and Apis mellifera,Experimental Parasitology,238,,108279,2022,Academic Press
"Papežíková, Ivana; Palíková, Miroslava; Navrátil, Stanislav; Heumannová, Radka; Fronc, Michael; ",The effect of oxalic acid applied by sublimation on honey bee colony fitness: a comparison with amitraz,Acta Veterinaria Brno,85,3,255-260,2016,University of Veterinary Sciences Brno
"Aglagane, Abdessamad; Laghzaoui, El-Mustapha; Ben Elfakir, Sana; Er-Rguibi, Omar; Abbad, Abdelaziz; El Mouden, El Hassan; Aourir, Mohamed; ","Essential oils as sustainable control agents against Varroa destructor (Acari, Varroidae), an ectoparasitic mite of the western honeybees Apis mellifera (Hymenoptera: Apidae): Review of recent literature (2010-onwards)",International Journal of Acarology,47,5,436-445,2021,Taylor & Francis
"Evans, Kathleen C; Underwood, Robyn M; López-Uribe, Margarita M; ",Combined effects of oxalic acid sublimation and brood breaks on Varroa mite (Varroa destructor) and deformed wing virus levels in newly established honey bee (Apis mellifera) colonies,Journal of Apicultural Research,61,2,197-205,2022,Taylor & Francis
"Nath, Subhradal; Mandal, Sanju; Pal, Susanta; Jadhao, Suresh; Ottalwar, Namrata; Sanyal, Prabir; ",Impact and management of acaricide resistance-pertaining to sustainable control of ticks,Int. J. Livest. Res,8,,46,2018,
"Strange, James P; Sheppard, Walter S; ","Optimum timing of miticide applications for control of Varroa destructor (Acari: Varroidae) in Apis mellifera (Hymenoptera: Apidae) in Washington State, USA",Journal of Economic Entomology,94,6,1324-1331,2001,"Oxford University Press Oxford, UK"
"Pacini, Adriana; Giacobino, Agostina; Molineri, Ana; Bulacio Cagnolo, Natalia; Aignasse, Andrea; Zago, Luis; Mira, Anabela; Izaguirre, Mercedes; Schnittger, Leonhard; Merke, Julieta; ",Risk factors associated with the abundance of Nosema spp. in apiaries located in temperate and subtropical conditions after honey harvest,Journal of Apicultural Research,55,4,342-350,2016,Taylor & Francis
